,geoid_county,rise,U7B001_isolated
1135,22001,2,193
1136,22001,3,255
1137,22001,4,902
1138,22001,5,1090
1139,22001,6,1510
1140,22001,7,2069
1141,22001,8,2378
1142,22001,9,2424
1143,22001,10,2785
1144,22003,0,0
1145,22003,1,0
1146,22003,2,0
1147,22003,3,0
1148,22003,4,0
1149,22003,5,0
1150,22003,6,0
1151,22003,7,0
1152,22003,8,0
1153,22003,9,0
1154,22003,10,0
1155,22005,0,0
1156,22005,1,1731
1157,22005,2,3415
1158,22005,3,4449
1159,22005,4,9740
1160,22005,5,14709
1161,22005,6,18291
1162,22005,7,23075
1163,22005,8,32090
1164,22005,9,38226
1165,22005,10,45307
1166,22007,0,0
1167,22007,1,2402
1168,22007,2,4315
1169,22007,3,5424
1170,22007,4,6629
1171,22007,5,8468
1172,22007,6,7638
1173,22007,7,8176
1174,22007,8,8929
1175,22007,9,9966
1176,22007,10,11036
1177,22011,0,0
1178,22011,1,0
1179,22011,2,0
1180,22011,3,1
1181,22011,4,1
1182,22011,5,1
1183,22011,6,1
1184,22011,7,1
1185,22011,8,1
1186,22011,9,1
1187,22011,10,1
1188,22019,0,0
1189,22019,1,1386
1190,22019,2,3091
1191,22019,3,3736
1192,22019,4,5607
1193,22019,5,9961
1194,22019,6,16123
1195,22019,7,23592
1196,22019,8,34393
1197,22019,9,43621
1198,22019,10,57379
1199,22023,0,0
1200,22023,1,1171
1201,22023,2,2303
1202,22023,3,3049
1203,22023,4,3991
1204,22023,5,4825
1205,22023,6,4846
1206,22023,7,5317
1207,22023,8,5443
1208,22023,9,5303
1209,22023,10,5310
1210,22033,0,0
1211,22033,1,595
1212,22033,2,595
1213,22033,3,595
1214,22033,4,595
1215,22033,5,891
1216,22033,6,891
1217,22033,7,891
1218,22033,8,941
1219,22033,9,943
1220,22033,10,943
1221,22045,0,0
1222,22045,1,2246
1223,22045,2,3300
1224,22045,3,4578
1225,22045,4,5901
1226,22045,5,7238
1227,22045,6,8276
1228,22045,7,9502
1229,22045,8,13150
1230,22045,9,15038
1231,22045,10,15389
1232,22047,0,0
1233,22047,1,125
1234,22047,2,136
1235,22047,3,787
1236,22047,4,891
1237,22047,5,2214
1238,22047,6,2934
1239,22047,7,3646
1240,22047,8,5271
1241,22047,9,5532
1242,22047,10,6230
1243,22051,0,0
1244,22051,1,3511
1245,22051,2,5333
1246,22051,3,5615
1247,22051,4,5750
1248,22051,5,5352
1249,22051,6,5426
1250,22051,7,5279
1251,22051,8,5279
1252,22051,9,5279
1253,22051,10,5279
1254,22053,0,0
1255,22053,1,250
1256,22053,2,537
1257,22053,3,975
1258,22053,4,1624
